MsgID.LOCAL_VELOCITY,1530000759.6207480,-0.0000106,0.0000154,0.0000169
MsgID.GLOBAL_POSITION,1530000759.6217456,-122.4019360,37.7967203,0.1310000
MsgID.LOCAL_VELOCITY,1530000759.6217456,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6217456,471.1006470,-398.4678650,-0.1313787
MsgID.LOCAL_VELOCITY,1530000759.6217456,0.0000046,0.0000171,-0.0000009
MsgID.GLOBAL_POSITION,1530000759.6217456,-122.4019370,37.7967192,0.0980000
MsgID.LOCAL_VELOCITY,1530000759.6217456,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6227448,470.9715576,-398.5549011,-0.0981676
MsgID.LOCAL_VELOCITY,1530000759.6227448,-0.0000018,-0.0000006,0.0000016
MsgID.GLOBAL_POSITION,1530000759.6227448,-122.4019381,37.7967192,0.0800000
MsgID.LOCAL_VELOCITY,1530000759.6227448,0.0000000,0.0000000,-0.0600000
MsgID.LOCAL_POSITION,1530000759.6227448,470.9786987,-398.6542969,-0.0802439
MsgID.LOCAL_VELOCITY,1530000759.6227448,-0.0004721,0.0030533,-0.0692867
MsgID.STATE,1530000759.6227448,True,True
MsgID.GLOBAL_HOME,1530000759.6227448,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1530000759.6227448,-122.4019367,37.7967193,0.0980000
MsgID.LOCAL_VELOCITY,1530000759.6227448,-0.0100000,0.0200000,-0.0900000
MsgID.LOCAL_POSITION,1530000759.6227448,470.9847412,-398.5263977,-0.0987480
MsgID.LOCAL_VELOCITY,1530000759.6227448,-0.0108900,0.0264680,-0.0906371
MsgID.GLOBAL_POSITION,1530000759.6237581,-122.4019356,37.7967198,0.1160000
MsgID.LOCAL_VELOCITY,1530000759.6237581,-0.0100000,0.0200000,0.0500000
MsgID.LOCAL_POSITION,1530000759.6237581,471.0424805,-398.4261475,-0.1162103
MsgID.LOCAL_VELOCITY,1530000759.6237581,-0.0198919,0.0289559,0.0502381
MsgID.GLOBAL_POSITION,1530000759.6237581,-122.4019369,37.7967203,0.1110000
